Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Jaundice,itching,vomiting,fatigue,weight_loss
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Common Cold,continuous_sneezing,chills,fatigue,cough
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Jaundice,itching,vomiting,weight_loss,high_fever
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Tuberculosis,chills,vomiting,fatigue,weight_loss
Heart attack,vomiting,breathlessness,sweating,chest_pain
Alcoholic hepatitis,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Varicose veins,fatigue,cramps,bruising,obesity
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_ urination
Osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints
Fungal infection,itching,skin_rash,nodal_skin_eruptions,
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Common Cold,continuous_sneezing,chills,fatigue,cough
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Arthritis,muscle_weakness,stiff_neck,movement_stiffness,painful_walking
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Heart attack,vomiting,breathlessness,sweating,chest_pain
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Dengue,skin_rash,chills,joint_pain,vomiting
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss_of_balance
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Chicken pox,itching,skin_rash,fatigue,lethargy
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Dengue,skin_rash,chills,joint_pain,vomiting
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Dengue,skin_rash,chills,joint_pain,vomiting
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Tuberculosis,chills,vomiting,fatigue,weight_loss
hepatitis A,joint_pain,vomiting,dark_urine,nausea
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Heart attack,vomiting,breathlessness,sweating,chest_pain
Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level
Dengue,skin_rash,chills,joint_pain,vomiting
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine
Osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Chicken pox,itching,skin_rash,fatigue,lethargy
Common Cold,continuous_sneezing,chills,fatigue,cough
AIDS,muscle_wasting,patches_in_throat,high_fever,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Malaria,chills,vomiting,high_fever,headache
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Tuberculosis,vomiting,fatigue,weight_loss,cough
AIDS,muscle_wasting,patches_in_throat,high_fever,
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Tuberculosis,chills,vomiting,fatigue,weight_loss
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Chicken pox,itching,skin_rash,fatigue,lethargy
Common Cold,continuous_sneezing,chills,fatigue,cough
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Jaundice,itching,vomiting,fatigue,weight_loss
Varicose veins,fatigue,cramps,bruising,obesity
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Dengue,skin_rash,chills,joint_pain,vomiting
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Tuberculosis,chills,vomiting,fatigue,weight_loss
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
AIDS,patches_in_throat,high_fever,extra_marital_contacts,
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine
Hypoglycemia,fatigue,anxiety,sweating,headache
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Dengue,skin_rash,chills,joint_pain,vomiting
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Impetigo,skin_rash,high_fever,blister,yellow_crust_ooze
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Gastroenteritis,vomiting,dehydration,diarrhoea,
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Dengue,skin_rash,chills,joint_pain,vomiting
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,
Dengue,skin_rash,chills,joint_pain,vomiting
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hyperthyroidism,fatigue,weight_loss,restlessness,sweating
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Gastroenteritis,vomiting,sunken_eyes,dehydration,
Varicose veins,fatigue,cramps,bruising,obesity
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Jaundice,itching,vomiting,fatigue,weight_loss
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Chicken pox,itching,skin_rash,fatigue,lethargy
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Tuberculosis,chills,vomiting,fatigue,weight_loss
Pneumonia,chills,fatigue,cough,breathlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hypertension ,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Malaria,chills,vomiting,high_fever,sweating
Dimorphic hemmorhoids(piles),pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
AIDS,muscle_wasting,high_fever,extra_marital_contacts,
Malaria,chills,vomiting,high_fever,sweating
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Allergy,continuous_sneezing,shivering,watering_from_eyes,
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Common Cold,continuous_sneezing,chills,cough,high_fever
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypoglycemia,vomiting,fatigue,sweating,headache
Tuberculosis,chills,vomiting,fatigue,weight_loss
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Jaundice,itching,vomiting,fatigue,weight_loss
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,
Jaundice,itching,vomiting,fatigue,weight_loss
AIDS,patches_in_throat,high_fever,extra_marital_contacts,
Jaundice,itching,vomiting,fatigue,weight_loss
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Jaundice,itching,vomiting,fatigue,weight_loss
hepatitis A,joint_pain,vomiting,dark_urine,nausea
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Acne,skin_rash,blackheads,scurring,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Chicken pox,itching,skin_rash,fatigue,lethargy
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Allergy,continuous_sneezing,chills,watering_from_eyes,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Typhoid,chills,fatigue,high_fever,headache
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Acne,pus_filled_pimples,blackheads,scurring,
Dengue,skin_rash,chills,joint_pain,vomiting
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Jaundice,vomiting,fatigue,weight_loss,high_fever
Jaundice,itching,vomiting,fatigue,weight_loss
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Chicken pox,itching,skin_rash,fatigue,lethargy
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Malaria,chills,vomiting,sweating,headache
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Common Cold,continuous_sneezing,chills,fatigue,cough
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Malaria,chills,vomiting,high_fever,sweating
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Tuberculosis,vomiting,fatigue,weight_loss,cough
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,
Common Cold,continuous_sneezing,chills,fatigue,cough
Chicken pox,itching,skin_rash,fatigue,lethargy
Heart attack,vomiting,breathlessness,sweating,chest_pain
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Heart attack,vomiting,breathlessness,sweating,chest_pain
Chicken pox,skin_rash,fatigue,lethargy,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Chicken pox,itching,skin_rash,fatigue,lethargy
Common Cold,continuous_sneezing,chills,cough,high_fever
Pneumonia,chills,fatigue,cough,high_fever
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
Tuberculosis,chills,vomiting,fatigue,weight_loss
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Tuberculosis,chills,vomiting,fatigue,weight_loss
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
Pneumonia,chills,fatigue,cough,high_fever
Common Cold,continuous_sneezing,chills,fatigue,cough
Tuberculosis,chills,vomiting,fatigue,weight_loss
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Pneumonia,chills,fatigue,cough,high_fever
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Pneumonia,chills,fatigue,cough,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
AIDS,patches_in_throat,high_fever,extra_marital_contacts,
Heart attack,vomiting,breathlessness,sweating,chest_pain
Pneumonia,chills,fatigue,high_fever,breathlessness
Hepatitis B,fatigue,lethargy,yellowish_skin,dark_urine
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Tuberculosis,chills,vomiting,fatigue,weight_loss
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Tuberculosis,chills,vomiting,fatigue,weight_loss
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Fungal infection,itching,skin_rash,dischromic _patches,
Varicose veins,fatigue,cramps,bruising,obesity
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Jaundice,itching,vomiting,fatigue,weight_loss
Pneumonia,chills,fatigue,cough,high_fever
Diabetes ,fatigue,weight_loss,lethargy,irregular_sugar_level
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Fungal infection,itching,skin_rash,dischromic _patches,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Dengue,chills,joint_pain,vomiting,fatigue
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Jaundice,itching,fatigue,weight_loss,high_fever
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
Malaria,chills,vomiting,high_fever,sweating
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,
Tuberculosis,chills,vomiting,fatigue,weight_loss
Pneumonia,chills,fatigue,cough,high_fever
Heart attack,vomiting,breathlessness,sweating,chest_pain
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Dengue,skin_rash,chills,joint_pain,vomiting
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Chicken pox,itching,skin_rash,fatigue,lethargy
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Osteoarthristis,joint_pain,knee_pain,hip_joint_pain,swelling_joints
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Common Cold,continuous_sneezing,fatigue,cough,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Common Cold,continuous_sneezing,chills,fatigue,cough
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Varicose veins,fatigue,cramps,bruising,obesity
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Jaundice,itching,vomiting,fatigue,high_fever
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Dengue,skin_rash,chills,vomiting,fatigue
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Chicken pox,itching,fatigue,lethargy,high_fever
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Tuberculosis,chills,vomiting,fatigue,weight_loss
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Typhoid,chills,vomiting,fatigue,high_fever
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Urinary tract infection,burning_micturition,foul_smell_of urine,continuous_feel_of_urine,
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Common Cold,chills,fatigue,cough,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,
Malaria,chills,vomiting,high_fever,sweating
Hepatitis B,itching,fatigue,yellowish_skin,dark_urine
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Dengue,skin_rash,chills,joint_pain,vomiting
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
hepatitis A,vomiting,yellowish_skin,dark_urine,nausea
Dengue,skin_rash,chills,joint_pain,vomiting
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Dengue,skin_rash,chills,joint_pain,vomiting
Hepatitis B,itching,fatigue,yellowish_skin,dark_urine
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,
Acne,skin_rash,pus_filled_pimples,scurring,
Gastroenteritis,vomiting,sunken_eyes,dehydration,
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hypoglycemia,vomiting,anxiety,sweating,headache
Chicken pox,itching,fatigue,lethargy,high_fever
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Heart attack,vomiting,breathlessness,sweating,chest_pain
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
